title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
BANG!,2002,Be the last one standing in this wild west shootout game with hidden roles.,"1,405",4,7,20,40,6.502,28826,1.48,1.63,6150,869,1627298,81217,36,35878,1784,10
Magic Realm,1979,The granddaddy of complex RPG-style board games; now available to print-and-play!,"1,406",1,16,240,240,7.247,2058,1.98,4.54,1170,502,1029233,3620,6,3965,1588,12
Chronicles of Crime: 1900,2021,,"1,407",1,4,60,90,8.18,1056,1.21,1.86,325,158,66478,2109,10,6250,570,12
In the Shadow of the Emperor,2004,Use your wealth and wits to nimbly deploy your nobles and win majorities.,"1,408",2,4,90,90,6.871,2898,1.33,3.42,1211,56,255609,4213,0,3981,399,12
Kashgar: Merchants of the Silk Road,2013,Manage caravans to get goods to the market and sell them to the highest bidder.,"1,409",2,4,45,45,7.076,2092,1.22,2.25,506,83,178632,8113,7,2691,796,12
Space Crusade,1990,,"1,410",2,4,120,120,7.029,2876,1.44,2.29,703,267,407661,2727,1,4928,424,10
Pixel Tactics,2012,Tactical battle: 9 heroes vs. 9 heroes; each with 3 unique abilities.,"1,411",2,2,30,30,6.875,3216,1.46,2.61,701,208,318357,5902,4,6796,699,12
Power Grid: The First Sparks,2011,,"1,412",2,6,60,60,6.791,3489,1.28,2.7,856,96,297788,6672,0,4574,641,12
Masmorra: Dungeons of Arcadia,2017,Dungeoneering heroes explore; discover and battle towards the final confrontation.,"1,413",1,5,60,90,7.056,2668,1.39,2.24,699,330,456487,5503,3,6450,797,14
Havana,2009,Rebuild Cuba's capital; Havana. Will you emerge as Cuba's greatest builder?,"1,414",2,4,30,45,6.851,3061,1.17,2.21,674,62,203372,7734,1,3994,473,10
The Scepter of Zavandor,2004,Become the foremost wizard in the land through strategic shopping!,"1,415",2,6,90,90,6.974,2524,1.55,3.51,943,68,243671,5339,0,2653,453,10
Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,2017,Help Holmes investigate more cases; including several in the Carlton House mansion.,"1,416",1,8,90,90,7.88,1024,1.41,2.38,238,57,150834,2412,4,4507,1133,12
Junta,1978,Graft; betrayal; and the occasional coup attempt: just another day in the republic!,"1,417",2,7,240,240,6.694,5570,1.66,2.87,1654,232,511323,3553,0,9033,676,16
Pavlov's House,2018,The Soviets defend a key strongpoint during the Battle of Stalingrad.,"1,418",1,3,60,75,7.958,1027,1.17,2.69,339,193,282438,2770,5,2754,1219,12
1856: Railroading in Upper Canada from 1856,1995,Fight to keep your Canadian railways afloat against a looming national railroad.,"1,419",3,6,300,300,7.507,1289,1.57,4.26,500,56,199563,2737,1,1753,306,14
Doomtown: Reloaded,2014,Players fight for influence and control in a demon-haunted Old West town.,"1,420",2,4,30,30,7.126,2258,1.78,3.59,757,501,582539,9620,1,6054,554,12
Similo,2019,Use hints to find a secret card in a group of twelve.,"1,421",2,8,10,15,6.848,3116,1.21,1.04,808,105,131416,45082,201,7680,716,7
Agropolis,2021,Add farms to the card-laying experience of Sprawlopolis.,"1,422",1,4,15,20,7.538,1254,1.09,1.73,428,97,71073,7347,51,4754,416,8
Planet,2018,Build biomes to create a unique 3D planet and attract the most wildlife.,"1,423",2,4,30,45,6.718,4415,1.23,1.58,802,115,296272,12442,8,7675,1302,8
Pueblo,2002,You are a master builder! Cleverly disguise your coloured stones within your village.,"1,424",2,4,60,60,6.946,2525,1.22,2.25,789,50,189126,5189,2,2550,899,10
Giants,2008,,"1,425",3,5,90,90,6.968,2477,1.25,2.94,721,98,284741,3538,0,3338,564,10
I'm the Boss!,1994,Negotiate your way into deals; but get too greedy and they'll cut you out!,"1,426",3,6,60,60,6.775,3691,1.6,1.97,1243,93,341058,6481,0,4157,757,12
Empire Builder,1982,Connect the north; east; south; and west in this pick-up-and-deliver train classic.,"1,427",2,6,180,180,6.949,2932,1.49,2.63,1017,121,309766,6781,1,4331,352,12
Ascension: Immortal Heroes,2012,Stand united and gain honor with soul gems and trophies.,"1,428",1,2,30,30,7.337,1593,1.35,2.11,337,74,96796,14936,0,3191,241,13
Genotype: A Mendelian Genetics Game,2021,Grab a trowel and breed pea plants on your way to become a master geneticist.,"1,429",1,5,45,90,7.634,1220,1.06,2.78,346,172,161360,3424,14,3485,1598,14
Spyfall 2,2016,Oust up to two spies with new locations and even more players!,"1,430",3,12,15,15,6.921,2712,1.41,1.25,491,61,197243,9089,1,6183,844,13
Aerion,2019,Breezy game where you build giant; weird kites.,"1,431",1,2,15,30,7.413,1441,1.13,1.95,345,128,131936,6764,15,3514,940,10
Mü & More,1995,Compendium of thought-provoking trick-taking games.,"1,432",2,8,60,60,7.154,1865,1.43,2.49,770,40,183934,5756,1,3060,304,11
Hit Z Road,2016,A dice chuckin' zombie filled run along Route 66.,"1,433",1,4,30,60,6.766,3980,1.31,1.84,833,170,290379,9631,6,7127,669,12
Strike,2012,Throw dice in an arena; in order to be the last gladiator standing.,"1,434",2,5,15,15,6.889,2898,1.47,1.04,515,69,141014,58895,125,4332,523,8
Neanderthal,2015,Hunt fauna and learn culture as early humans; to survive the European Ice Age.,"1,435",1,3,60,120,7.331,1615,1.46,3.74,618,187,335498,4808,1,5008,667,14
Olympos,2011,,"1,436",2,5,45,90,6.915,2637,1.26,2.96,687,86,301282,4619,0,3349,602,10
Codex: Card-Time Strategy – Deluxe Set,2016,Choose the right cards from your Codex of minions and spells to defeat your opponent!,"1,437",2,5,45,45,8.033,1056,1.77,3.65,352,292,355486,4304,20,1363,1064,13
Dragonfire,2017,Assemble your party; and begin the adventure along the famed Sword Coast.,"1,438",2,6,60,90,7.193,2327,1.62,3.2,612,329,836971,11609,2,5321,1405,13
Brew,2021,Bring balance back to the forest with potions and woodland creatures.,"1,439",2,4,45,90,7.228,1847,1.26,2.31,314,196,208656,4192,33,4319,1396,10
The Civil War 1861-1865,1983,ACW strategic simulation with detailed leaders; supply chains; naval war; & more.,"1,440",2,2,120,1200,7.732,1219,1.51,3.8,552,172,361198,738,0,2911,252,12
CV,2013,Build a better life as you gain knowledge; a career and even find social happiness!,"1,441",2,4,60,60,6.602,6184,1.35,1.85,1203,197,370581,14620,2,7950,1153,10
Oceanos,2016,Pilot your submarine and dive deep into the ocean collecting creatures and treasures.,"1,442",2,5,30,45,6.835,3168,1.15,1.83,657,94,249672,8788,8,5407,907,8
Pictures,2019,Everyone uses vastly different items to get others to match their pieces to a photo!,"1,443",3,5,20,30,7.2,1751,1.33,1.02,292,49,154853,6436,11,2941,602,8
Ad Astra,2009,Spread your faction across the stars; exploring; exploiting; and settling.,"1,444",3,5,60,60,6.865,2902,1.29,2.68,860,143,385940,5376,0,2950,756,13
Piepmatz,2018,Feathers fly in this battle over pecking order at the bird feeder.,"1,445",2,4,20,40,7.109,1960,1.18,2.09,448,106,142336,6579,11,3826,686,12
Aquaretto,2008,Manage your water-themed zoo by making impressive exhibits maybe even baby animals!,"1,446",2,5,45,45,6.981,2485,1.12,2.11,769,53,162469,5271,1,3140,436,10
Wars of the Roses: Lancaster vs. York,2010,Captures the intrigue and the skulduggery of the period brilliantly!,"1,447",2,4,180,180,7.364,1475,1.45,3.2,487,98,257637,2485,3,1832,517,13
Ingenious: Travel Edition,2006,Match double sided hexes and your lowest scored shape is your final score.,"1,448",2,2,30,30,7.101,1984,1.23,1.85,609,27,124054,9141,0,2830,298,10
Indigo,2012,Create tangled paths and move gemstones to your advantage.,"1,449",2,4,30,30,6.844,3129,1.16,1.47,766,97,210440,11739,4,4629,964,8
Welcome Back to the Dungeon,2016,Push your luck crawling through this dungeon. Did you remember the correct monsters?,"1,450",2,4,30,30,6.754,3886,1.16,1.36,699,78,186460,6839,8,8663,637,10
Smart10,2017,1 question; 10 possible answers and players take turns to find the right ones.,"1,451",2,8,20,120,7.513,1317,1.16,1.24,150,25,42918,9687,56,2673,278,10
Indian Summer,2017,Be the first to fill your board with leaves of all shapes; aided by bonus powers.,"1,452",1,4,15,60,6.786,3541,1.26,2.17,739,129,296438,13769,6,6002,1108,10
Jekyll vs. Hyde,2021,Will you maintain balance or give in to darkness in the battle of Hyde and Jekyll?,"1,453",2,2,30,30,7.333,1558,1.26,1.86,278,90,90582,9653,89,2970,826,8
RAF: The Battle of Britain 1940,2009,Refight the Battle of Britain as either the RAF or the Luftwaffe or 1v1.,"1,454",1,2,120,900,8.01,983,1.32,3.26,380,247,486671,1575,0,2670,986,-1
Pirate's Cove,2002,Pirate's plunder as they seek booty to bury and fame at the end of a cannon!,"1,455",3,5,60,90,6.568,8110,1.37,2.01,2546,190,646731,13447,0,10492,1311,8
Skulk Hollow,2019,Stake your claim to the land as a clever fox tribe or a legendary Guardian!,"1,456",2,2,40,40,7.348,1557,1.33,2.26,367,211,190254,4271,5,3734,1655,8
Battle Line: Medieval,2017,Marshal your forces across nine battlefields in a subtle and engaging card duel.,"1,457",2,2,30,30,7.687,1127,1.16,1.92,250,67,95507,5193,22,2320,439,12
Navajo Wars,2013,Avoid being subjugated by either the Spanish; Mexicans or the Americans.,"1,458",1,2,120,120,7.959,954,1.31,3.87,417,212,351103,2859,1,2879,1090,12
Unlock!: Secret Adventures – The Adventurers of Oz,2018,A cooperative card game themed with Wizard of Oz.,"1,459",1,6,60,60,7.413,1361,1.41,2.88,242,16,42469,1692,1,2264,177,10
Risk 2210 A.D.,2001,Specialized commanders lead robot armies in a war for the earth; sea; and even moon.,"1,460",2,5,240,240,6.687,6953,1.51,2.72,1995,378,664447,4807,1,12311,532,10
Dice Settlers,2018,Settle your people; advance technology and fight for new territories in a new world.,"1,461",1,4,45,60,6.942,2527,1.32,2.94,604,391,347807,7191,10,4843,974,14
Shogi,1587,"Deploy captured pieces for rapid checkmates in Japan's traditional ""general's game.""","1,462",2,2,60,60,7.381,1675,1.72,3.76,558,144,218548,4089,1,2871,446,8
Walnut Grove,2011,Starve and freeze on the plains as you build your farm and trade your goods in town.,"1,463",1,4,30,60,6.982,2253,1.25,2.46,621,91,259800,7385,2,2239,994,10
Unconditional Surrender! World War 2 in Europe,2014,Strategic level wargame with military and political decision-making in WWII Europe.,"1,464",2,3,60,3000,8.159,938,1.56,3.73,384,293,639745,1804,3,2563,815,14
Bloodborne: The Card Game,2016,The hunt is on! Take on nightmarish fiends and collect the most blood echoes.,"1,465",3,5,30,45,6.903,3356,1.42,2.08,637,183,455943,6305,2,6111,749,14
The Initiative,2021,Unravel the secret of The Key; a game within a game set in the year 1994.,"1,466",1,4,30,60,7.69,1174,1.39,1.89,246,191,233803,10867,65,3355,2357,8
Warhammer Quest: Blackstone Fortress,2018,Scavenge; loot and survive the Fortress; FOR THE EMPEROR... or just yourself.,"1,467",1,5,120,180,7.882,1216,1.49,2.9,280,278,372319,3823,1,3333,649,12
Hab & Gut,2008,Make wise investments using shared resources but don't forget to donate to charity!,"1,468",3,5,45,45,7.086,1957,1.18,2.17,534,67,160754,4597,0,1680,706,10
The Quest for El Dorado: The Golden Temples,2019,You've made it to El Dorado; now the jewels and riches are almost in your grasp.,"1,469",2,4,30,60,7.768,1046,1.06,1.87,246,60,155892,2406,6,2932,771,10
Gingerbread House,2018,Bake tasty treats to tempt fairy-tale characters who keep trying to eat your house!,"1,470",2,4,30,30,7.011,2216,1.1,1.81,410,73,129212,7706,7,4085,486,8
Age of Renaissance,1996,,"1,471",3,6,120,300,7.098,2163,1.75,3.86,800,118,290103,2149,0,2890,400,12
Revolution!,2009,Decisions; decisions. Blackmail; bribe or threat? Connive to control the colony.,"1,472",3,4,60,60,6.723,4224,1.42,2.04,1096,181,321872,8334,2,5101,844,13
Call of Cthulhu: The Card Game,2008,Succeed at stories by facing down your opponent with your custom deck.,"1,473",2,2,30,30,6.909,2969,1.55,2.89,784,412,587243,9825,4,5335,541,13
Exit: The Game – The Forbidden Castle,2017,Start an adventure in the mystic castle with wisdom and patience.,"1,474",1,4,45,90,6.835,2932,1.64,3.24,542,23,74017,3447,3,6308,344,12
Tiny Epic Kingdoms,2014,Have your tiny kingdom expanded in the epic war of Aughmoore.,"1,475",2,5,30,45,6.567,7424,1.28,2.09,1916,797,710194,14549,1,17601,1120,13
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,2020,Be part of Holmes' gang of street children; tackling crime; mystery and a deadly foe.,"1,476",1,8,90,90,8.48,727,1.27,2.36,195,70,109578,2005,8,3040,993,14
Aristeia!,2017,,"1,477",2,2,60,90,8.268,935,1.41,2.95,218,172,167713,5117,9,1688,398,14
Ogre,1977,The original asymetrical sci-fi wargame pits the mega-tank Ogre against lesser units.,"1,478",1,3,45,45,6.953,2780,1.54,2.34,1467,472,787650,3745,0,8095,551,10
Kingdoms,1994,Vie for dominance by tactically placing tiles and castles over 3 epochs.,"1,479",2,4,45,45,6.646,4804,1.22,1.83,1522,87,391084,11148,2,6257,489,9
Tortuga 1667,2017,Privateers capture Spanish gold for King and country. Maroon the disloyal to Tortuga!,"1,480",2,9,20,40,6.933,2936,1.43,2.0,784,233,259992,6338,7,8541,794,12
Imperial Steam,2021,Plan; build; and expand your railway network during the Industrial Age of Austria.,"1,481",2,4,120,120,7.834,984,1.4,4.11,203,109,171860,2393,15,1723,994,12
Coffee Traders,2021,Develop coffee regions around the world while building your coffee trading network.,"1,482",2,5,120,150,7.818,1047,1.36,4.33,229,167,227581,2378,13,1973,1281,12
Thanos Rising: Avengers Infinity War,2018,Assemble your heroes and defeat Thanos before SNAP!,"1,483",2,4,60,90,7.143,2246,1.4,2.0,461,166,278915,8363,7,3929,542,10
Arctic Scavengers,2009,Fight; gamble and bluff in this desperate struggle for diminishing resources.,"1,484",2,5,45,60,6.805,3202,1.34,2.27,836,207,432637,7144,8,3688,1040,12
Android,2008,Uncover a murder and a conspiracy; while living your own story; in a cyberpunk city.,"1,485",3,5,180,180,6.74,3826,1.75,3.97,1372,366,668241,4418,0,6209,1010,13
The Lord of the Rings: The Card Game – Revised Core Set,2022,Revised core set repackages the original with support for 1-4p and a new campaign.,"1,486",1,4,30,90,8.582,742,1.29,3.31,117,148,147054,7250,125,2119,542,14
Trekking the World,2020,A light strategy game about the pleasures and wonders of world travel.,"1,487",2,5,30,60,7.121,1981,1.3,1.89,424,127,144899,6503,18,3428,857,10
Mystery of the Abbey,1995,Murder in medieval France. Explore stone halls. Examine clues. Find the culprit.,"1,488",3,6,60,90,6.537,7886,1.39,2.2,2377,176,527117,10291,0,9657,1649,8
Puzzle Strike: Third Edition,2012,Build a bag of gems and actions to overwhelm your opponent with gem damage!,"1,489",2,4,20,20,7.204,1788,1.64,2.7,465,135,176766,8274,1,2269,557,10
Zombie Teenz Evolution,2020,Cooperate to protect your town from Zombie Hordes. A game that evolves as you play!,"1,490",2,4,15,25,7.839,1033,1.28,1.45,197,80,82908,13998,85,2830,419,8
The New Era,2011,,"1,491",2,5,60,60,7.502,1288,1.51,3.46,309,162,208340,3741,0,1674,411,10
Human Punishment: Social Deduction 2.0,2018,Secret teams try to rule the world after a successful machine revolution.,"1,492",4,16,15,90,7.722,1572,1.89,2.6,431,570,225874,3371,5,3043,563,10
The Red Dragon Inn 2,2008,4 new heroes join the party in this standalone expansion. Drink 'till you drop!,"1,493",2,4,45,45,6.919,3008,1.5,1.79,538,112,160257,3757,1,6769,562,13
Fireteam Zero,2015,Co-op strategic WW2 soldiers vs horrors.,"1,494",1,4,90,90,7.508,1434,1.45,2.72,355,502,462919,4272,10,2865,805,14
The Bottle Imp,1995,The bottle imp brings riches... if it can be given away before the round ends.,"1,495",2,4,30,30,6.736,3501,1.37,1.87,1229,64,232344,10443,5,5124,596,10
Nanty Narking,2019,Buy; bribe and murder your way to control of Victorian London's neighborhoods.,"1,496",2,4,60,60,7.566,1260,1.33,2.26,362,178,270407,3110,4,2811,804,14
The Climbers,2008,Use the blocks to build your way to the top!,"1,497",2,5,45,45,6.804,3037,1.26,1.8,778,93,233004,10872,5,3993,963,8
Rise of Empires,2009,Compete to develop your ever-changing empire from Ancient Age to Modern Age.,"1,498",2,5,180,180,7.034,2056,1.39,3.55,585,73,386680,2904,0,3005,527,12
Power Struggle,2009,Race up the corporate ladder by bribing; conniving and besting your archnemesis.,"1,499",3,5,105,105,6.974,2241,1.35,3.35,682,78,271107,3421,1,3279,377,12
Himalaya,2002,Plan caravan journeys to raise your tribe's piety; power and wealth in the Himalayas.,"1,500",3,4,60,60,6.997,2160,1.25,2.57,619,52,205254,3488,0,2174,492,8
On the Underground,2006,Build the most successful lines for the Tube and help the Passenger commute!,"1,501",2,5,60,60,6.905,2462,1.25,2.44,895,53,200162,6919,3,2097,594,7
Marrakech,2007,When Assam lands on your carpet; the player who moved him must pay you.,"1,502",2,4,30,30,6.683,4399,1.24,1.36,893,114,246679,18072,19,4973,804,6
Oregon,2007,Build settlements on the frontier and score the best combos!,"1,503",2,4,45,45,6.76,3322,1.21,2.15,989,92,217454,20209,5,3048,505,8
Ys,2004,,"1,504",2,4,90,90,6.886,2543,1.3,2.92,913,33,251513,3849,1,3519,449,12
Trapwords,2018,Navigate your way in the dungeon by explaining things without mentioning trapwords!,"1,505",4,8,30,45,6.973,2323,1.3,1.39,388,59,151585,6057,5,4594,701,8
The Great Dalmuti,1995,Get rid of your cards to rise through society from peon to Dalmuti.,"1,506",4,8,60,60,6.572,7378,1.57,1.29,1900,147,333966,25884,27,12544,450,8
GKR: Heavy Hitters,2018,,"1,507",1,4,60,120,7.642,1396,1.44,2.75,371,273,289477,2085,1,3022,661,12
Canopy,2021,Grow the most bountiful rainforest in this game of card drafting and set collection.,"1,508",1,4,30,30,7.531,1269,1.09,2.06,332,168,127364,4575,46,3661,1117,8
Axis & Allies,2004,Re-fight WWII on a global scale with plastic soldiers; tanks; planes; and ships!,"1,509",2,5,240,240,6.694,5953,1.6,3.21,1518,192,500735,5512,3,7778,324,12
Renature,2020,Compete for the best ground as you restore a polluted valley with plants and animals.,"1,510",2,4,45,60,7.242,1605,1.26,2.2,343,105,184105,4564,18,3104,1160,8
Kitchen Rush (Revised Edition),2019,Juggle orders; prepare dishes; and stock the pantry to satisfy your hungry customers.,"1,511",2,4,20,60,7.596,1176,1.23,2.1,156,48,91544,7346,8,2629,631,8
PitchCar Mini,2003,Classic finger flicking game goes to the next level on,"1,512",2,8,30,30,6.967,2190,1.3,1.14,587,46,163527,11193,5,2629,469,6
Successors (Third Edition),2008,Card-based scrap between Alexander's generals to succeed to his empire.,"1,513",2,4,90,300,7.532,1221,1.48,3.3,461,152,363983,1910,0,1611,714,12
Café,2020,Place cards efficiently to process and deliver coffee in early 20th-century Portugal.,"1,514",1,4,20,45,7.403,1372,1.14,1.96,259,84,130747,6745,64,2874,845,8
Beyond Balderdash,1993,Divine the true story from your opponents' bluffs and hope you can fool them too.,"1,515",2,6,45,45,6.818,3129,1.44,1.47,959,56,192068,3651,0,4892,328,10
Drop It,2018,Drop geometric shapes in your color to score the most physics-defying points.,"1,516",2,4,30,30,6.92,2404,1.29,1.1,459,58,93491,19993,9,3498,464,8
1817,2010,An 18xx game with variable interest loans; mergers & acquisitions; and short selling.,"1,517",3,7,360,540,8.667,618,1.43,4.73,258,79,222399,3031,5,1012,470,16
"Artifacts, Inc.",2014,Go on expeditions to find artifacts; then sell them to museums for fame and fortune.,"1,518",2,4,60,60,6.771,3168,1.15,2.17,781,156,234554,6596,1,5204,807,13
Otys,2017,Send your divers to collect treasures in the depths of post-apocalyptic oceans.,"1,519",2,4,60,60,6.995,2206,1.23,2.87,473,119,262657,5048,2,4156,662,14
Legendary Encounters: A Firefly Deck Building Game,2016,Assemble the galaxy's most lovable rogues to steal goods and escape the inevitable!,"1,520",1,5,45,90,7.116,1865,1.5,2.59,459,138,268469,6073,2,4478,832,14
World in Flames,1985,All of World War II at a global scale.,"1,521",2,7,120,6000,7.602,1393,1.9,4.64,656,236,808207,1599,0,2750,396,12
Pendragon: The Fall of Roman Britain,2017,Britons and Barbarians struggle for political and military control over Britannia.,"1,522",1,4,60,360,7.96,940,1.58,4.5,342,190,356522,1560,0,3153,1028,16
Maglev Metro,2021,Efficiency is the key to rebuilding the city transit with maglev tech.,"1,523",1,4,60,90,7.297,1494,1.27,2.75,325,130,189823,4077,13,2859,1447,14
The Lord of the Ice Garden,2014,Mould the world to match your own twisted vision while avoiding the meddlesome hero.,"1,524",1,4,90,90,7.642,1197,1.51,4.06,232,210,230987,1793,0,2218,598,14
A Study in Emerald (Second Edition),2015,Victorian agents seek to protect- or overthrow the Great Old Ones among us.,"1,525",2,5,60,60,6.91,2496,1.44,2.94,571,137,298952,4629,4,4356,1016,13
World of Warcraft: The Boardgame,2005,Choose your faction; pick your class and fight for Azeroth.,"1,526",2,6,180,180,6.688,5590,1.72,3.51,1502,404,1163865,5467,1,8998,852,12
City of Iron,2013,Explore new lands and build cities to find and produce the most valuable goods.,"1,527",2,4,120,120,7.182,1663,1.3,3.23,466,154,301262,2976,0,2221,779,13
Timeline: Discoveries,2011,,"1,528",2,8,15,15,6.721,3757,1.18,1.17,583,46,98449,11014,5,7302,430,8
Warfighter: The Tactical Special Forces Card Game,2014,Hand-pick and equip an elite team to complete modern-era covert missions.,"1,529",1,6,30,180,7.696,1240,1.44,2.7,403,280,559755,4365,4,2594,605,-1
The Ancient World,2014,Thrive in a wonderful world. Claim banners to become the most influential city-state.,"1,530",2,4,90,90,7.008,2117,1.22,2.72,566,184,350152,4099,3,3168,919,13
It's a Wonderful Kingdom,2021,Build up your kingdom by getting your hands on the best cards.,"1,531",1,2,45,60,7.556,1219,1.26,2.55,308,221,208380,5161,49,3919,1031,14
Riftforce,2021,Choose guilds; combine their powers; and rush into battle.,"1,532",2,2,20,30,7.46,1339,1.2,2.13,228,106,118263,4985,22,2884,751,10
51st State,2010,Various survivors build and conquer in Neuroshima's wasteland.,"1,533",2,4,40,90,6.814,2912,1.47,3.11,896,199,518343,7652,1,3679,585,10
Unlock!: Mystery Adventures – The House on the Hill,2017,,"1,534",1,6,60,60,7.014,1997,1.19,1.75,405,18,53324,3048,1,3511,152,10
Samurai Spirit,2014,Together the honourable Samurai stand; to protect the village from the bandit man!,"1,535",1,7,30,30,6.636,4664,1.33,2.13,1007,200,360821,15375,6,8005,945,9
Bios: Megafauna (Second Edition),2017,Choose your species and adapt or go extinct!,"1,536",1,4,90,180,7.69,1108,1.52,4.52,418,175,284967,2604,5,3790,770,12
Curious Cargo,2020,Build your facilities with interweaving networks of tiles to ship cargo.,"1,537",2,2,30,60,7.223,1575,1.43,3.21,322,116,186644,4860,17,4066,1179,12
Gulo Gulo,2003,Remove the right eggs carefully to move forward and rescue your baby.,"1,538",2,6,15,20,6.834,2790,1.26,1.08,1318,45,330222,16945,4,2883,868,5
A House Divided: War Between the States 1861-65,1981,North and South fight in several Civil War battles.,"1,539",2,2,240,240,7.075,1966,1.37,2.63,953,125,389632,2415,2,4041,404,12
Tempel des Schreckens,2016,Defend the temples as Amazons or rob it as adventurers in this social deduction game.,"1,540",3,10,15,15,7.114,1825,1.36,1.17,242,38,74985,12986,19,3245,238,8
Pergamon,2011,Archaeologists compete to exhibit the best collection in the museum.,"1,541",2,4,45,45,6.902,2387,1.13,2.25,592,78,189664,6299,1,2479,545,10
SET,1988,Race to find a set of three among the twelve cards.,"1,542",1,20,30,30,6.494,11762,1.57,1.67,2668,231,351944,36636,30,20050,484,6
The Ancient World (Second Edition),2019,Battle ancient Titans while growing; building; and rebuilding your civilization.,"1,543",2,4,90,90,7.588,1118,1.08,2.8,340,148,159721,2293,9,2821,663,13
Miyabi,2019,Compete for tiles to collect the most of each element in your garden & build high!,"1,544",2,4,45,45,7.505,1209,1.06,2.06,239,67,112967,4943,4,2000,1065,8
Transatlantic,2017,Compete for passengers and freight in diverse shipping lanes.,"1,545",2,4,60,120,7.089,1832,1.22,3.11,471,124,306305,4615,3,2326,741,12
Battle Cry: 150th Civil War Anniversary Edition,2010,Fight the American Civil War with mini figures on big hexes and tiles!,"1,546",2,2,45,45,7.64,1175,1.31,2.07,356,206,348701,3599,0,2210,392,12
Capital Lux,2016,Assign Citizens to your Hometown or the Capital in this futuristic tactical card game,"1,547",2,4,30,30,7.022,2016,1.16,1.96,458,75,151207,6276,5,2801,575,10
Adventure Land,2015,Collect swords; herbs; and companions to fight monsters.,"1,548",2,4,45,45,6.909,2341,1.17,1.84,623,82,234182,5699,3,3949,860,10
Habitats,2016,Build a wildlife park - but be sure to give your animals the terrain they need!,"1,549",2,5,30,50,7.335,1369,1.22,2.24,406,94,165946,8310,15,2004,647,10
Time's Up! Edición Amarilla,2008,Describe Cleopatra in few seconds. Then try in one word; a gesture or a posture.,"1,550",4,12,30,30,7.484,1199,1.4,1.11,134,20,28363,4821,3,2327,106,-1
Dungeon Degenerates: Hand of Doom,2017,The dark & dirty co-op game of swords; sausages & sorcery.,"1,551",1,4,30,360,8.205,1018,1.68,3.57,370,363,488846,2793,12,2337,1052,10
Jungle Speed,1997,Flip a card; watch like an eagle for a match; and be the fastest to grab the totem.,"1,552",2,10,10,10,6.489,12315,1.52,1.14,2377,233,560178,47915,11,19125,742,7
Sanctum,2019,Gather loot; level up and be sure to become strong enough to defeat the Demon Lord!,"1,553",2,4,60,100,7.142,1857,1.33,2.47,383,203,369826,3490,5,3303,1226,12
Empires in Arms,1983,Intense simulation of the Napoleonic Wars that ranged across Europe; 1805-1815.,"1,554",2,7,120,12000,7.62,1277,1.78,4.41,541,160,326110,921,0,2219,386,14
Campy Creatures,2017,Deploy an army of classic monsters to outwit your rivals & capture the most mortals.,"1,555",2,5,20,30,7.061,2066,1.24,1.47,462,147,135538,5228,13,4610,613,10
Mordheim: City of the Damned,1999,Build a warband for skirmish wargaming in the Warhammer Fantasy universe.,"1,556",2,6,60,60,7.318,1645,1.54,3.09,365,157,219756,2543,0,2017,259,10
Ave Caesar,1989,Welcome to the Circus Maximus. Jostle for pole position with your Roman chariot.,"1,557",2,6,30,30,6.624,4535,1.39,1.36,1523,90,307683,17599,7,4365,806,12
Adventure Games: The Dungeon,2019,You awaken in a dungeon with no memory of how you got there. Use your wits to escape.,"1,558",1,4,75,75,6.995,2117,1.33,1.69,453,58,126250,4856,3,4809,565,12
König von Siam,2007,Fight for the control of Siam as factions fight; while staving off the colonisers.,"1,559",2,4,30,60,6.916,2229,1.37,2.69,804,66,208539,6166,2,1729,481,12
Leonardo da Vinci,2006,,"1,560",2,5,90,90,6.737,3406,1.31,3.18,1263,49,303353,5109,0,4629,392,12
Imaginarium,2018,Collect and combine devices to be the best inventor in a fantastic world.,"1,561",2,5,90,90,7.188,1714,1.34,2.94,290,159,254871,4296,4,3116,1020,14
Key Flow,2018,,"1,562",2,6,45,75,7.393,1245,1.12,2.87,344,65,163959,3778,5,2477,582,14
Mangrovia,2014,Only a chief knows the best placement for a hut!,"1,563",2,5,75,75,7.17,1630,1.1,2.44,390,62,143391,3924,0,2148,531,10
Love Letter: Adventure Time,2015,Win the princess' affection by eliminating opposition through special card powers.,"1,564",2,4,20,20,7.237,1723,1.32,1.07,368,68,102013,6339,3,3710,240,10
Rune Stones,2019,Summon creatures; gain gems; forge artifacts and gain the throne first.,"1,565",2,4,60,60,7.28,1509,1.24,2.35,328,70,134494,4277,5,2668,687,10
Sorcerer City,2020,Build and re-build magical cities under an ever-increasing time pressure.,"1,566",1,6,45,60,7.495,1252,1.47,2.24,346,610,157694,3994,2,2677,674,14
The Great Heartland Hauling Co.,2013,Visit; haul; deliver.,"1,567",2,4,30,30,6.868,2502,1.18,1.84,702,145,180310,7978,1,4062,557,10
Axis & Allies,1981,Re-fight WWII on a global scale with plastic soldiers; tanks; planes; and ships!,"1,568",2,5,180,180,6.565,10660,1.58,3.04,3273,481,1131117,10806,1,15206,383,12
Kamisado,2008,,"1,569",2,2,20,20,6.916,2352,1.33,2.44,576,107,186994,15201,19,3154,661,10
