title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
Amun-Re,2003,As Pharoah buy land; trade and build pyramids to your greatness in this Knizia gem!,426,3,5,90,90,7.305,8848,1.21,3.03,2755,181,660570,24964,2,9994,1677,12
Sidereal Confluence,2017,Nine alien races wheel; deal; plan; and develop to be the best leader of the galaxy.,427,4,9,120,180,7.8,3441,1.63,3.56,901,294,611731,6586,6,5334,2635,14
Furnace,2020,19th century capitalists manipulate the market and manage their industrial empires.,428,2,4,30,60,7.487,5530,1.12,2.22,904,281,384398,16285,65,9302,3340,12
Pipeline,2019,Run a refinery and compete against other players to purchase; refine; and sell oil.,429,2,4,60,120,7.658,4101,1.46,3.89,872,329,537315,11570,12,6304,2205,12
Chess,1475,Orchestrate your powerful royalty; clergy and military to trap your opponent's king.,430,2,2,2,2,7.166,32235,1.84,3.68,7035,1045,582454,183440,195,45789,352,6
Descent: Journeys in the Dark,2005,Heroes band together to defeat the Overlord and his minions in epic dungeon battles.,431,2,5,120,240,7.292,11549,1.52,3.34,2944,1089,1861185,21402,3,14045,1685,13
Blood Bowl (Third Edition),1994,,432,2,2,180,180,7.548,5445,1.59,2.98,1202,351,429162,10838,1,6621,543,12
Mansions of Madness,2011,Spectral horrors and monstrosities await! Will you defeat them; or be driven mad?,433,2,5,120,180,7.283,13225,1.56,3.24,2410,1714,1637296,19665,0,19136,2881,13
Shadows of Brimstone: City of the Ancients,2014,Co-op dungeon crawl the monster-ridden Old West mines and frozen Targa otherworld.,434,1,4,120,120,7.962,3674,1.66,3.35,830,1305,2226320,13179,1,7073,2624,12
Middara: Unintentional Malum – Act 1,2019,Coop dungeon crawler in unusual fantasy setting with massive campaign and storyline.,435,1,4,60,60,8.743,1998,1.63,4.03,656,1505,1090800,14295,19,4973,2123,15
Forbidden Desert,2013,Work together to escape the desert; before sand buries you or your supplies run dry!,436,2,5,45,45,7.11,28315,1.18,2.05,4699,992,980873,61269,19,48695,5153,10
Black Orchestra,2016,Team up to conceive and enact a plot to assassinate Hitler.,437,1,5,90,90,7.517,5391,1.29,2.41,1229,439,775728,12352,11,9095,2767,14
Exit: The Game – Dead Man on the Orient Express,2017,Classic murder mystery meets escape room in this full steam ahead puzzle game.,438,1,4,60,120,7.637,4103,1.37,2.68,720,47,100671,4166,2,8161,564,12
Stuffed Fables,2018,Live the story of a child's stuffed toys; saving her from monsters under the bed.,439,2,4,60,90,7.505,5937,1.32,2.42,1203,555,725876,19275,21,16171,4149,7
King of Tokyo: Dark Edition,2020,Fight for dominance in this upgraded pulp edition of a dice-rolling monster battle.,440,2,6,30,30,7.763,3742,1.17,1.67,532,241,269441,13718,27,8824,809,8
1775: Rebellion,2013,Four sides maneuver & battle to control colonies in America's War for Independence.,441,2,4,60,120,7.653,4014,1.24,2.24,1139,298,594735,8462,1,5424,1920,10
Mandala,2019,Create and destroy mandalas in this beautifully tense abstract game for two.,442,2,2,20,20,7.605,4238,1.11,1.82,759,165,248738,23755,22,7527,2036,10
Colt Express,2014,This is a train robbery! Will you leave with the loot or a bunch of bullet holes?,443,2,6,40,40,7.103,28210,1.24,1.82,4231,809,1062959,84274,25,39639,3640,10
Raptor,2015,Elude or chomp humans as the mama raptor; neutralize her offspring as the scientists.,444,2,2,30,30,7.284,9058,1.2,2.07,1568,321,485826,27594,10,13523,3633,9
Imperium: Classics,2021,Compete to become the most dominant empire the world has ever seen!,445,1,4,60,120,7.824,3391,1.42,3.51,663,388,644403,15187,61,7650,2156,14
Citadels,2000,Bishop; warlord; thief; king: change roles; build your city and hinder your rivals.,446,2,8,20,60,7.076,51386,1.26,2.05,10111,1678,1968894,113573,37,69074,3292,10
"Labyrinth: The War on Terror, 2001 – ?",2010,Jihad is no longer a world away. Can the West react in time to win the war on terror?,447,1,2,180,180,7.59,4654,1.53,3.63,1413,642,1000101,11009,4,9289,1955,12
Cubitos,2021,Race for the glory of the Cube Cup in this exciting game of luck and strategy!,448,2,4,30,60,7.568,4714,1.19,2.16,712,291,353207,18597,79,8791,2884,10
Deus,2014,Develop your civilization and repeat your advancements in this engine-builder.,449,2,4,60,90,7.293,8167,1.21,2.84,1588,295,653057,27067,21,9462,2154,14
Hanabi,2010,Everyone can see your cards but you. Can their clues help you find out what to play?,450,2,5,25,25,7.064,43360,1.4,1.69,7222,1136,1356745,241687,101,71739,3654,8
Love Letter,2019,Help sneakily maneuver your love letter to the Princess—or to those closest to her.,451,2,6,20,20,7.561,4942,1.31,1.13,564,184,185384,18082,64,10005,591,10
Shadows over Camelot,2005,Loyal knights unite to save Camelot while a traitor secretly plots their doom.,452,3,7,60,80,7.109,26537,1.39,2.57,6079,1059,1553935,49529,4,32811,7006,10
Cloudspire,2019,Use towers; minions; and heroes to help your faction claim an island in the sky.,453,1,4,90,180,8.213,2431,1.66,4.32,630,653,754549,11437,20,5069,2707,13
Lords of Vegas,2010,Build; expand; and take over casinos to get big profits and big points.,454,2,4,60,90,7.345,7072,1.4,2.35,1596,265,473976,19300,6,9250,2731,12
Citadels,2016,Thief? King? Warlord? Draft the best temporary roles in this kingdom building game.,455,2,8,30,60,7.287,10483,1.25,2.02,1437,405,528052,18376,24,19339,2396,10
Friday,2011,Only Friday can help Robinson Crusoe survive the hazards of this deserted island.,456,1,1,25,25,7.129,18935,1.23,2.15,4013,916,865028,112885,82,33014,2735,13
Unmatched: Robin Hood vs. Bigfoot,2019,The big beast and the wily rogue fight to see who's king of the forest.,457,2,2,20,20,8.069,2596,1.2,1.92,327,150,99593,3573,21,6992,624,9
CATAN,1995,Collect and trade resources to build up the island of Catan in this modern classic.,458,3,4,60,120,7.122,112814,1.49,2.31,20033,5917,4113031,311681,143,176782,6094,10
Junk Art,2016,Travel the world and create balanced masterpieces from eccentric pieces.,459,2,6,30,30,7.391,6428,1.25,1.23,1046,171,378731,22496,9,9583,2586,8
Oceans,2020,Adapt in a continually changing ecosystem in this interactive engine builder.,460,2,4,60,90,7.552,4849,1.33,2.82,1061,451,536016,13127,21,9563,2824,12
Fire in the Lake,2014,Play as the USA; VC; ARVN; or NVA to control Vietnam in COIN:Volume IV.,461,1,4,180,180,8.055,2517,1.45,4.1,825,426,798659,4351,2,5810,1954,-1
Betrayal Legacy,2018,Experience the stories locals have told for generations about that spooky old house.,462,3,5,45,90,7.718,4098,1.78,2.88,802,351,604772,22003,4,9518,2863,12
Madeira,2013,Please the crown; feed your people; thrive; all without resorting to piracy—too often,463,2,4,60,150,7.576,4228,1.5,4.3,964,279,620186,10379,3,5298,1673,12
Freedom: The Underground Railroad,2012,Join fellow abolitionists to emancipate slaves and lead them to freedom in Canada.,464,1,4,60,120,7.572,4187,1.25,2.9,1153,305,484280,9706,0,6524,2708,13
Imhotep,2016,Gather; ship; and lay stones to build the most magnificent monuments in Egypt.,465,2,4,40,40,7.165,13909,1.13,2.01,2255,398,744425,41559,25,19370,2847,10
Archipelago,2012,Settlers work together and compete for resources to survive the new world.,466,2,5,30,240,7.322,7808,1.56,3.74,1881,584,971563,16395,1,10400,3820,14
London,2010,Draft cards; avoid debt; and run your industrial engine to rebuild London.,467,2,4,90,90,7.344,6424,1.27,2.88,1577,226,559615,18879,1,5856,1205,13
First Class: All Aboard the Orient Express!,2016,Players draft to run the most luxurious rail line and solve murders!,468,2,4,40,80,7.438,5335,1.14,2.79,934,182,357945,19662,9,6984,1274,10
Small World Underground,2011,Mummies; Mudmen and more! Battle it out with new maps; new races; and new powers.,469,2,5,30,90,7.253,10400,1.28,2.58,1498,420,478113,11999,5,17495,2013,8
BattleCON: Devastation of Indines,2013,Fight head-to-head with thirty characters in this card-based brawler.,470,1,5,45,45,7.869,3130,1.64,3.09,806,499,685953,11014,8,5046,1119,10
Railroad Ink: Deep Blue Edition,2018,Build a network of rails and roads through a watery landscape.,471,1,6,20,30,7.231,10212,1.18,1.47,1384,310,385332,80491,159,16669,2556,8
Hadara,2019,Employ citizens with a variety of skills to make your civilization thrive.,472,2,5,45,60,7.451,5352,1.14,2.21,861,201,349003,21595,24,6550,1922,10
No Thanks!,2004,Take a card each round; or pay to say no; grab the right cards to lower your score.,473,3,7,20,20,7.065,23227,1.2,1.14,5348,417,760894,191370,144,32394,2819,8
Canvas,2021,Artistically layer your paintings to create a masterpiece and win the Best in Show!,474,1,5,30,30,7.431,6121,1.19,1.69,1180,1460,385130,22875,67,12805,3016,14
Potion Explosion,2015,Collect and combine ingredients to mix potions and try to become Student of The Year.,475,2,4,30,45,7.141,16340,1.2,1.77,2447,521,555810,96618,91,23660,3319,8
Argent: The Consortium,2015,Convince a shadow Council that you'd be the best Chancellor of Argent's University.,476,2,5,60,150,7.674,3659,1.52,3.8,967,494,472077,7238,3,5435,1576,10
Legends of Andor,2012,A group of heroes carefully executes the defense of a besieged kingdom.,477,2,4,60,90,7.162,17136,1.46,2.76,2972,1074,1485716,44987,12,29280,3989,10
The Grizzled,2015,With paltry resources and limited luck; your group must survive WWI in the trenches.,478,2,5,30,30,7.165,13553,1.29,1.97,2529,471,699700,54545,24,21824,2593,14
Blackout: Hong Kong,2018,Manage ever-changing resources & a network of various specialists to save Hong Kong!,479,1,4,75,150,7.47,4986,1.25,3.5,917,258,535705,14628,14,8521,1437,14
Thurn and Taxis,2006,Seek help from postal officials to build your delivery routes across Central Europe.,480,2,4,60,60,7.096,19036,1.18,2.26,4188,430,837235,71931,18,21383,2127,10
The Fox in the Forest,2017,In this trick-taking game for 2; you must win more than your rival—but not too much!,481,2,2,30,30,7.171,12257,1.21,1.58,2200,445,550016,38460,46,25108,3073,10
Blitzkrieg!: World War Two in 20 Minutes,2019,Deploy units in different theaters of combat to win WW2.,482,1,2,20,45,7.66,3656,1.1,1.86,731,467,337403,14638,48,6225,2593,14
Libertalia,2012,Scurvy pirate crews try to divide loot for glory and riches.,483,2,6,40,60,7.145,13399,1.28,2.24,2298,452,840947,32493,7,14232,3576,14
Time's Up! Title Recall!,2008,Your teammates must guess titles of books and more while clues become more limited.,484,4,18,60,60,7.698,3382,1.51,1.19,747,76,329121,13528,12,4934,1055,12
1846: The Race for the Midwest,2005,Finance; build; and run railways in the American Midwest.,485,3,5,240,240,7.95,2536,1.37,3.95,740,148,448770,14881,10,3939,782,14
Clash of Cultures: Monumental Edition,2021,Advance your ancient civilization from tiny settlement to mighty empire.,486,2,4,180,240,8.508,1775,1.31,3.73,304,314,445011,4126,17,3972,1685,14
Euphoria: Build a Better Dystopia,2013,Place worker dice strategically to build your authority and take over a dystopia.,487,2,6,60,60,7.22,10162,1.4,3.12,2043,757,818957,25887,6,13669,2754,13
Bohnanza,1997,Farm beans; harvest crops and trade your way to fortune in this card game classic.,488,2,7,45,45,7.043,41528,1.29,1.67,9003,921,1387730,138548,42,62866,2810,13
Port Royal,2014,Hire a crew and loot ships; but don't get too greedy or you sail away empty handed!,489,2,5,20,50,7.134,15311,1.18,1.62,2446,431,712605,107184,110,23025,1857,8
Sentinels of the Multiverse,2011,A diverse cast of superheroes work together to foil the plans of evil villains.,490,2,5,30,60,7.182,15500,1.68,2.51,3634,1524,1614750,89121,13,21878,2083,8
TZAAR,2007,Capture all of an opponent's type of pieces or make them unable to capture yours.,491,2,2,30,60,7.668,3518,1.32,2.52,955,172,288915,16273,7,5316,1547,13
